date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:18	50716/50716	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:17%20GMT	https://unrr.cz/	unrr.cz/index.html	(from )
16:38:18	70/70	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Wed,%2005%20Aug%202020%2014:38:17%20GMT	https://unrr.cz/robots.txt		(from )
16:38:18	172/172	---M--	401	error ('Unauthorized')	text/html	date:Wed,%2005%20Aug%202020%2014:38:18%20GMT	https://unrr.cz/xmlrpc.php	unrr.cz/xmlrpc.php	(from https://unrr.cz/)
16:38:20	906462/906462	---MCZ	200	added ('OK')	text/css	etag:%22dd4de-5ab7c094ebcb1-gzip%22	https://unrr.cz/wp-content/cache/autoptimize/css/autoptimize_6009a6339a50d3456a3c5c5e869a670e.css	unrr.cz/wp-content/cache/autoptimize/css/autoptimize_6009a6339a50d3456a3c5c5e869a670e.css	(from https://unrr.cz/)
16:38:22	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217a69-590390ea075c3%22	https://unrr.cz/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	unrr.cz/wp-includes/js/jquery/jquery4a5f.js	(from https://unrr.cz/)
16:38:22	206/206	---M--	200	added ('OK')	text/calendar	date:Wed,%2005%20Aug%202020%2014:38:21%20GMT	https://unrr.cz/kalendar/?ical=1	unrr.cz/kalendar/indexedf3.html	(from https://unrr.cz/)
16:38:22	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22a6fa673eab5ca9ab781190776f398d00%22	https://unrr.cz/comments/feed/	unrr.cz/comments/feed/index.html	(from https://unrr.cz/)
16:38:23	172/172	---M--	401	error ('Unauthorized')	text/html	date:Wed,%2005%20Aug%202020%2014:38:22%20GMT	https://unrr.cz/xmlrpc.php?rsd	unrr.cz/xmlrpc0db0.php	(from https://unrr.cz/)
16:38:24	55608/55608	---MC-	200	added ('OK')	application/rss+xml	etag:%22ba4a84d90be9382c4f8300dfd4e459bd%22	https://unrr.cz/feed/	unrr.cz/feed/index.html	(from https://unrr.cz/)
16:38:25	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%22415-556da9da133c0%22	https://unrr.cz/wp-includes/wlwmanifest.xml	unrr.cz/wp-includes/wlwmanifest.xml	(from https://unrr.cz/)
16:38:25	145152/145152	---MC-	200	added ('OK')	application/json	date:Wed,%2005%20Aug%202020%2014:38:24%20GMT	https://unrr.cz/wp-json/	unrr.cz/wp-json/index.html	(from https://unrr.cz/)
16:38:26	4018/4018	---M--	200	added ('OK')	application/json	date:Wed,%2005%20Aug%202020%2014:38:26%20GMT	https://unrr.cz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Funrr.cz%2F	unrr.cz/wp-json/oembed/1.0/embed9a55.json	(from https://unrr.cz/)
16:38:27	4210/4210	---MCZ	200	added ('OK')	text/xml	date:Wed,%2005%20Aug%202020%2014:38:27%20GMT	https://unrr.cz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Funrr.cz%2F&format=xml	unrr.cz/wp-json/oembed/1.0/embed7e53	(from https://unrr.cz/)
16:38:27	1352/1352	---M--	200	added ('OK')	image/png	etag:%22548-56eac4e831809%22	https://unrr.cz/wp-content/uploads/2018/06/cropped-logo-unrr-symlbol-h40-32x32.png	unrr.cz/wp-content/uploads/2018/06/cropped-logo-unrr-symlbol-h40-32x32.png	(from https://unrr.cz/)
